check,term,beta_std,se_cluster,p_value,ci95_low,ci95_high,n
single_component_lag1,cstp5_lag1,0.015068304249934144,0.0073139450580483574,0.04358111608153693,0.00044793640174843434,0.029688672098119852,693
distributed_lag,cstp5_lag1,0.025136758336627863,0.009208895119736233,0.008242310477690619,0.006728439288927447,0.04354507738432828,630
distributed_lag,cstp5_lag2,-0.004803518879845524,0.009037162208350977,0.5969511920752931,-0.022868548729149597,0.013261510969458547,630
future_lead_placebo,cstp5_lead1,0.0070408342450373786,0.009830856188392715,0.4765584612297198,-0.012610767263610989,0.026692435753685746,630
