spec,component,beta_std,se_cluster,p_value,q_bh,ci95_low,ci95_high,n,clusters,r_squared
contemporaneous_10,cstp3,-0.004122631397311487,0.0059191625382968,0.4887257247504363,0.9033250323559233,-0.015954868716057787,0.007709605921434812,756,63,0.24570174441050674
contemporaneous_10,cstp4,0.007531926866416952,0.008622430088310283,0.385746684173686,0.9033250323559233,-0.009704065287726904,0.02476791902056081,756,63,0.24570174441050674
contemporaneous_10,cstp5,-8.395726785370857e-05,0.01148520171227699,0.9941909556793959,0.994190955679396,-0.0230425483580784,0.022874633822370986,756,63,0.24570174441050674
contemporaneous_10,cstp6,-0.008331685471186161,0.006670534136012062,0.2163500639588352,0.9033250323559233,-0.021665893212473135,0.00500252227010081,756,63,0.24570174441050674
contemporaneous_10,cstp7,-0.0058384102815101,0.011381895323371582,0.6098050861003226,0.9033250323559233,-0.028590494842785315,0.01691367427976511,756,63,0.24570174441050674
contemporaneous_10,cstp8,0.0012829181372408707,0.006377970013742088,0.8412410311681194,0.934712256853466,-0.011466462256722551,0.014032298531204293,756,63,0.24570174441050674
contemporaneous_10,cstp9,0.012506615860220912,0.011433140309723751,0.2782343397605776,0.9033250323559233,-0.010347905969163051,0.035361137689604874,756,63,0.24570174441050674
contemporaneous_10,cstp10,0.003522580596581501,0.009653038988396584,0.7164134738623689,0.9033250323559233,-0.01577356939403597,0.022818730587198972,756,63,0.24570174441050674
long_2011_2024_lag9,cstp1_lag1,0.011637575771327579,0.007491789547937929,0.12542315105262988,0.3112127584105131,-0.0033382981466087147,0.026613449689263872,882,63,0.35664929654782573
long_2011_2024_lag9,cstp2_lag1,-0.009866480273414118,0.005878622353936688,0.09830976731269725,0.3112127584105131,-0.02161767891832927,0.0018847183715010353,882,63,0.35664929654782573
long_2011_2024_lag9,cstp3_lag1,-0.0028689643652224975,0.006855162090400253,0.6770193571416474,0.6770193571416474,-0.016572238128579598,0.010834309398134604,882,63,0.35664929654782573
long_2011_2024_lag9,cstp4_lag1,-0.00937289112554208,0.0062425838890328945,0.1383167815157836,0.3112127584105131,-0.021851638512410294,0.003105856261326135,882,63,0.35664929654782573
