outcome,component,component_label,full_beta,loo_min_beta,loo_max_beta,max_abs_delta,sign_flip_count,provinces_dropped
log_revenue,cstp1_lag1,Chi phí gia nhập thị trường,-0.0017581976645324297,-0.0037472327754616325,0.00038885239845366706,0.0021470500629860965,3,63
log_revenue,cstp2_lag1,Tiếp cận đất đai,-0.014907625861204298,-0.02133430416915638,-0.00874288142276193,0.006426678307952084,0,63
log_revenue,cstp3_lag1,Tính minh bạch,-0.02090918226121976,-0.025032058004373203,-0.016870706028039004,0.004122875743153443,0,63
log_revenue,cstp4_lag1,Chi phí thời gian,-0.001339757322444867,-0.006818822337167296,0.0040214648856312235,0.005479065014722429,10,63
log_revenue,cstp5_lag1,Chi phí không chính thức,0.015151375322092714,0.007018944923649462,0.021372379315869286,0.008132430398443252,0,63
log_revenue,cstp6_lag1,Cạnh tranh bình đẳng,0.028390121250124876,0.016784478378298853,0.030677998935106476,0.011605642871826024,0,63
log_revenue,cstp7_lag1,Tính năng động,0.01199821628304496,0.005864530095675918,0.02215929797906313,0.01016108169601817,0,63
log_revenue,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,0.019826638983781276,0.01419442296465465,0.023664615485389093,0.005632216019126626,0,63
log_revenue,cstp9_lag1,Đào tạo lao động,0.00816903731164941,-0.0035926111671437094,0.019037185047465814,0.01176164847879312,1,63
log_revenue,cstp10_lag1,Thiết chế pháp lý & ANTT,0.006623384354975967,-0.0009685139291832692,0.012653477358655813,0.007591898284159237,2,63
log_revenue_change,cstp1_lag1,Chi phí gia nhập thị trường,0.007127209795040091,0.0028636950304382538,0.01066986625208421,0.004263514764601837,0,63
log_revenue_change,cstp2_lag1,Tiếp cận đất đai,-0.012237618011958088,-0.014893450487646603,-0.00901170030188171,0.003225917710076378,0,63
log_revenue_change,cstp3_lag1,Tính minh bạch,0.002961670906871065,-0.0005536492033235169,0.004813866061172392,0.0035153201101945815,1,63
log_revenue_change,cstp4_lag1,Chi phí thời gian,-0.015536881760770388,-0.020925061414990568,-0.012084876944064663,0.00538817965422018,0,63
log_revenue_change,cstp5_lag1,Chi phí không chính thức,0.036279844045433864,0.03403137644155153,0.03947073696367824,0.003190892918244377,0,63
log_revenue_change,cstp6_lag1,Cạnh tranh bình đẳng,-0.011532316966090616,-0.013496624539672031,-0.008833501820563602,0.0026988151455270143,0,63
log_revenue_change,cstp7_lag1,Tính năng động,-0.004884170902076819,-0.008289270171708803,0.002515859649682323,0.007400030551759142,1,63
log_revenue_change,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,0.008305974293501642,0.002301907945769723,0.011391108293379063,0.0060040663477319185,0,63
log_revenue_change,cstp9_lag1,Đào tạo lao động,0.0063621684209133585,0.003301801111744552,0.009734978642734723,0.0033728102218213646,0,63
log_revenue_change,cstp10_lag1,Thiết chế pháp lý & ANTT,-0.0014948116673215268,-0.003887563997974845,0.003831047637134986,0.005325859304456513,2,63
