dropped_region,beta_std,se_cluster,p_value,n,clusters
Bắc Trung Bộ và Duyên hải miền Trung,0.03283592641895431,0.009920832558555989,0.001776882310475796,539,49
Trung du và miền núi phía Bắc,0.02906891010562523,0.010022140669340297,0.005606994208114416,539,49
Tây Nguyên,0.0389422964537816,0.008691520028707543,3.6371216151778186e-05,638,58
Đông Nam Bộ,0.03989844654617009,0.009682617871185366,0.00012594938050104052,627,57
Đồng bằng sông Cửu Long,0.03601398766018796,0.011500947331677159,0.0029323522658031465,550,50
Đồng bằng sông Hồng,0.03783715835098545,0.010159806740320238,0.000490613180176728,572,52
