spec,outcome,component,component_label,beta_std,pct_equivalent,se_cluster,t_stat,p_value,q_bh,ci95_low,ci95_high,n,clusters,df_inference,r_squared,condition_number
no_covid_2020_2021,log_revenue,cstp6_lag1,Cạnh tranh bình đẳng,0.028903673304978776,2.9325438181947217,0.0180178845025971,1.6041657554643884,0.11375997491553975,0.5687998745776988,-0.007113564612909955,0.0649209112228675,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp7_lag1,Tính năng động,0.009056737849130941,0.9097874192607103,0.021517577812669716,0.42089950495256323,0.6752839316674135,0.8395871314935264,-0.03395628731394521,0.052069763012207095,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,0.02217254931727458,2.242018715618066,0.01341428116088087,1.652906260973181,0.1034055088638069,0.5687998745776988,-0.004642216644803725,0.04898731527935289,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp9_lag1,Đào tạo lao động,0.007256067817310294,0.7282456865690179,0.02321147976131778,0.3126068605674431,0.7556284183441737,0.8395871314935264,-0.03914301909376068,0.05365515472838127,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp10_lag1,Thiết chế pháp lý & ANTT,0.004316369369524082,0.43256983093451495,0.02285812946381296,0.18883300912077644,0.8508404699251534,0.8508404699251534,-0.041376380361299495,0.05000911910034765,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp1_lag1,Chi phí gia nhập thị trường,0.005527327654550423,0.5542631513539398,0.009238892657756816,0.598267331302932,0.5518409352172753,0.7709504848269112,-0.012940955617234264,0.02399561092633511,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp2_lag1,Tiếp cận đất đai,-0.007131272233634199,-0.7105905047719574,0.012248660700714087,-0.5822083252921237,0.562537632465409,0.7709504848269112,-0.03161599609616777,0.01735345162889937,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp3_lag1,Tính minh bạch,0.0038046770931580605,0.3811924064930805,0.00756426870412736,0.5029801613316672,0.616760387861529,0.7709504848269112,-0.011316080593579518,0.01892543477989564,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp4_lag1,Chi phí thời gian,-0.021517920761734876,-2.1288061951460713,0.013497857635044436,-1.5941730416438815,0.11598290366266187,0.38660967887553954,-0.04849975371516023,0.005463912191690474,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp5_lag1,Chi phí không chính thức,0.038403229864166104,3.91501647896888,0.011389470882334777,3.371818608687962,0.0012903809320426733,0.012903809320426732,0.01563600197629786,0.06117045775203435,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp6_lag1,Cạnh tranh bình đẳng,-0.012265295792049461,-1.219038363764835,0.0064040696747981905,-1.9152345953256629,0.06007808244404591,0.30039041222022955,-0.025066848665068257,0.0005362570809693337,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp7_lag1,Tính năng động,-0.003864801314250042,-0.3857342581584544,0.013504268333025773,-0.2861910929893447,0.7756858759856492,0.7756858759856492,-0.030859449070344387,0.023129846441844307,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,0.010807726151133864,1.0866340596049628,0.012177578713758033,0.8875102682706102,0.37823425806121347,0.7709504848269112,-0.013534906844100412,0.03515035914636814,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp9_lag1,Đào tạo lao động,0.007842160531314972,0.7872990811521152,0.009981821528334383,0.7856442342767026,0.43506815567475565,0.7709504848269112,-0.01211121639193605,0.027795537454565995,567,63,62,0.2952519935961655,138.9642710246832
no_covid_2020_2021,log_revenue_change,cstp10_lag1,Thiết chế pháp lý & ANTT,-0.00329529389427712,-0.32898703723540645,0.009855388614312977,-0.334364683447527,0.7392328428832909,0.7756858759856492,-0.02299593502358382,0.016405347235029583,567,63,62,0.2952519935961655,138.9642710246832
